REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
13313;COLMEIA CAPACITACAO, CRIACAO E PRODUCAO DE CONTEUDOS LTDA;09.207.407/0001-69;4465;30 PÉS FILMES LTDA.;07.447.850/0001-81;COLIGAÇÃO;22/08/2022
13330;TVC TUPA EIRELI;05.794.997/0001-12;54648;CABONNET INTERNET LTDA;47.082.017/0001-07;COLIGAÇÃO;01/09/2023
13379;REDE NOVO TEMPO DE COMUNICACAO;01.385.423/0001-30;58333;TELEVISAO CACHOEIRA DO SUL LTDA;89.784.037/0001-61;CONTROLE;23/05/2024
13379;REDE NOVO TEMPO DE COMUNICACAO;01.385.423/0001-30;13944;FUND SETORIAL DE RADIODIFUSAO EDUC DE SONS E IMAGENS;60.133.972/0001-86;COLIGAÇÃO;10/10/2018
13390;MIDIA QUATRO COMUNICAÇÃO ÁUDIO VISUAL LTDA ME;09.180.543/0001-02;48087;MAURENTE LTDA;38.316.706/0001-30;COLIGAÇÃO;06/04/2021
13391;DDFILMES COMUNICAÇÃO LTDA EPP;08.874.124/0001-08;42289;DDF AUDIOVISUAL LTDA;30.713.198/0001-11;COLIGAÇÃO;19/02/2019
13421;LUZES DA CIDADE - GRUPO DE CINÉFILOS E PRODUTORES CULTURAIS;01.631.403/0001-00;42827;LUZES DA CIDADE AUDIOVISUAL LTDA;31.279.085/0001-12;COLIGAÇÃO;26/04/2019
13421;LUZES DA CIDADE - GRUPO DE CINÉFILOS E PRODUTORES CULTURAIS;01.631.403/0001-00;25421;INSENSATEZ AUDIOVISUAL LTDA.-ME;18.418.408/0001-43;COLIGAÇÃO;18/04/2024
13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;221;FILMES MAIS LTDA;03.435.290/0001-94;COLIGAÇÃO;28/04/2022
13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;4465;30 PÉS FILMES LTDA.;07.447.850/0001-81;COLIGAÇÃO;22/08/2022
13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;13458;MAIS FILMES LTDA;09.255.824/0001-87;COLIGAÇÃO;29/04/2022
13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;2017;JOIN PARTICIPAÇÕES E INVESTIMENTOS LTDA.;56.336.027/0001-04;COLIGAÇÃO;23/11/2023
13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;COLIGAÇÃO;19/08/2022
13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;COLIGAÇÃO;06/07/2023
13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;13313;COLMEIA CAPACITACAO, CRIACAO E PRODUCAO DE CONTEUDOS LTDA;09.207.407/0001-69;COLIGAÇÃO;12/06/2023
13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;COLIGAÇÃO;22/05/2023
13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;4465;30 PÉS FILMES LTDA.;07.447.850/0001-81;COLIGAÇÃO;22/08/2022
13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;COLIGAÇÃO;06/07/2023
13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;13458;MAIS FILMES LTDA;09.255.824/0001-87;COLIGAÇÃO;29/04/2022
13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;2017;JOIN PARTICIPAÇÕES E INVESTIMENTOS LTDA.;56.336.027/0001-04;COLIGAÇÃO;23/11/2023
13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;221;FILMES MAIS LTDA;03.435.290/0001-94;COLIGAÇÃO;28/04/2022
13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;13313;COLMEIA CAPACITACAO, CRIACAO E PRODUCAO DE CONTEUDOS LTDA;09.207.407/0001-69;COLIGAÇÃO;12/06/2023
13450;CABRA QUENTE FILMES LTDA;08.277.315/0001-92;20538;BODE ESPIATÓRIO FILMES LTDA.;10.524.095/0001-04;COLIGAÇÃO;16/05/2024
13458;MAIS FILMES LTDA;09.255.824/0001-87;13432;VELUDO CREATIVE FILM COMPANY LTDA;09.252.906/0001-78;COLIGAÇÃO;19/08/2022
13458;MAIS FILMES LTDA;09.255.824/0001-87;13313;COLMEIA CAPACITACAO, CRIACAO E PRODUCAO DE CONTEUDOS LTDA;09.207.407/0001-69;COLIGAÇÃO;12/06/2023
13458;MAIS FILMES LTDA;09.255.824/0001-87;2017;JOIN PARTICIPAÇÕES E INVESTIMENTOS LTDA.;56.336.027/0001-04;COLIGAÇÃO;23/11/2023
13458;MAIS FILMES LTDA;09.255.824/0001-87;221;FILMES MAIS LTDA;03.435.290/0001-94;COLIGAÇÃO;28/04/2022
13458;MAIS FILMES LTDA;09.255.824/0001-87;4465;30 PÉS FILMES LTDA.;07.447.850/0001-81;COLIGAÇÃO;22/08/2022
13458;MAIS FILMES LTDA;09.255.824/0001-87;13424;STONE MILK POS PRODUCAO AUDIOVISUAL LTDA;09.222.300/0001-90;COLIGAÇÃO;22/05/2023
13458;MAIS FILMES LTDA;09.255.824/0001-87;18;INK PARTICIPACOES E INVESTIMENTOS LTDA;68.153.956/0001-67;COLIGAÇÃO;06/07/2023
13468;CINEAR PRODUCOES E EXIBICOES CINEMATOGRAFICAS EIRELI;07.137.708/0001-38;3825;MUITO MAIS PROMOÇÕES LTDA;00.079.647/0001-50;COLIGAÇÃO;27/07/2010
13496;FOGO CERRADO - IMAGENS E SERVICOS LTDA;03.762.421/0001-48;12941;BARRY COMPANY PRODUÇÕES AUDIOVISUAIS LTDA;09.012.841/0001-93;COLIGAÇÃO;06/09/2022
13496;FOGO CERRADO - IMAGENS E SERVICOS LTDA;03.762.421/0001-48;47860;PARKER PRODUCOES AUDIOVISUAIS LTDA;34.093.368/0001-63;COLIGAÇÃO;04/03/2021
13497;MADREMIDIA PRODUCOES CINEMATOGRAFICAS E TRANSPORTE LTDA ME;08.355.139/0001-60;46470;VENTRE STUDIO PARTICIPACOES LTDA;36.082.069/0001-59;COLIGAÇÃO;22/11/2023
13505;VIDEOGRAFICA FILMES LTDA;01.030.870/0001-76;54429;R2L COMPANHIA DIGITAL LTDA;02.318.853/0001-00;COLIGAÇÃO;16/08/2023
13509;ESPAÇO CULTURAL SINHA PRADO GUIMARÃES LTDA.;03.348.543/0001-92;40186;ROMÃ PRODUTORA CULTURAL;29.403.148/0001-59;COLIGAÇÃO;29/04/2024
13520;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;09.107.296/0001-19;50668;LUA CHEIA FILMES E PRODUCOES ARTISTICAS LTDA;25.301.432/0001-63;COLIGAÇÃO;07/03/2022
13521;BE BRANDED ENTERTAINMENT PRODUÇÃO DE FILMES LTDA.;08.860.097/0001-14;24717;LAGUNA DIGITAL FILMS;17.858.007/0001-41;COLIGAÇÃO;29/04/2024
13531;FEELMES CULTURA E ENTRETENIMENTO LTDA;09.022.139/0001-00;53864;EVERYTHING FILMES E ENTRETENIMENTO LTDA;44.026.690/0001-23;COLIGAÇÃO;26/06/2023
13531;FEELMES CULTURA E ENTRETENIMENTO LTDA;09.022.139/0001-00;17589;BATUQUE PROPAGANDA LTDA;11.323.112/0001-08;COLIGAÇÃO;04/03/2013
13540;CERRI FILMES LTDA;09.182.251/0001-09;12867;STUDIO CERRI PRODUÇÕES LTDA;04.721.942/0001-10;COLIGAÇÃO;16/05/2024
13541;P.G.C. MARTONI DA NOBREGA - PRODUÇÃO CINEMATOGRÁFICA - ME;09.165.924/0001-12;16601;TALK FILMES LTDA - EPP;11.403.337/0001-66;COLIGAÇÃO;26/03/2019
13567;MAR BRASILIS PRODUCOES CULTURAIS LTDA;58.551.193/0001-59;39154;MAR BRASILIS PRODUÇÕES CULTURAIS SUL LTDA;29.848.725/0001-16;COLIGAÇÃO;13/07/2022
13582;SANTUÁRIO NACIONAL DE NOSSA SENHORA DA CONCEIÇÃO APARECIDA;02.825.033/0001-04;21281;APARECIDA PRODUTORA DE TV LTDA.;07.003.654/0001-18;COLIGAÇÃO;15/05/2017
13603;RENATA DA SILVA OLIVEIRA EIRELI;03.006.663/0001-01;44412;CONTEÚDO SERVIÇOS DE PRODUÇÃO PARA CINEMA, TV E INTERNET LTDA;29.973.882/0001-53;COLIGAÇÃO;24/10/2019
13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;585;MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.;04.063.325/0001-74;COLIGAÇÃO;18/12/2012
13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;407;INDIE RECORDS LTDA;02.660.571/0001-88;COLIGAÇÃO;05/05/2021
13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;201;ESTUDIOS MEGA LTDA;01.618.105/0001-71;COLIGAÇÃO;19/10/2012
13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;264;TIBET FILME LTDA;02.660.748/0001-46;COLIGAÇÃO;14/09/2020
13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;18766;AUWE DIGITAL S.A.;11.433.396/0001-87;COLIGAÇÃO;27/02/2023
13613;RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA;07.949.581/0001-51;387;BRASIL FILMES LTDA;02.660.841/0001-50;COLIGAÇÃO;28/12/2012
13619;IMAGEM NORDESTE PRODUÇÃO AUDIOVISUAL LTDA.;09.084.936/0001-12;46442;ITEC PRODUÇÃO AUDIOVISUAL E PROPAGANDA LTDA;33.119.853/0001-04;COLIGAÇÃO;26/08/2020
13620;CAVALO MARINHO AUDIOVISUAL LTDA;09.392.543/0001-76;51992;TODESPLAY PROVEDORES DE CONTEÚDO AUDIOVISUAIS LTDA;40.087.391/0001-48;COLIGAÇÃO;02/09/2022
13622;BMCOM ASSESSORIA E CONSULTORIA EM COMUNICAÇAO LTDA;08.744.525/0001-43;47899;FEEL THE MATCH INC LTDA;40.820.093/0001-15;COLIGAÇÃO;11/03/2021
13622;BMCOM ASSESSORIA E CONSULTORIA EM COMUNICAÇAO LTDA;08.744.525/0001-43;51279;14 AGENCIA DE CONTEUDO ESTRATEGICO LTDA;20.489.684/0001-44;COLIGAÇÃO;24/05/2022
13631;LINE-UP PRODUCAO E DISTRIBUICAO DE FILMES LTDA - EPP;09.385.060/0001-44;4904;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;07.616.202/0001-01;COLIGAÇÃO;11/05/2022
13636;O2 FILMES PUBLICITÁRIOS LTDA.;08.746.762/0001-43;14193;O2 POS PRODUÇÕES LTDA;00.165.794/0001-43;COLIGAÇÃO;25/02/2022
13636;O2 FILMES PUBLICITÁRIOS LTDA.;08.746.762/0001-43;7087;O2 CINEMA LTDA;02.525.725/0001-29;COLIGAÇÃO;04/06/2024
13636;O2 FILMES PUBLICITÁRIOS LTDA.;08.746.762/0001-43;63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;COLIGAÇÃO;30/03/2021
13636;O2 FILMES PUBLICITÁRIOS LTDA.;08.746.762/0001-43;107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;COLIGAÇÃO;21/03/2022
13662;BROADCASTING TELEVISÃO LTDA.;97.387.765/0001-68;35397;BROADCASTING PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA.;07.044.047/0001-04;COLIGAÇÃO;20/06/2022
13662;BROADCASTING TELEVISÃO LTDA.;97.387.765/0001-68;41709;TOP MEDIA ENTRETENIMENTO LTDA;12.907.642/0001-58;COLIGAÇÃO;12/06/2024
13668;BELAVISTA RIO CINEMA E PRODUÇÃO ARTÍSTICA LTDA;09.240.833/0001-02;2356;O GRUPO PARABÓLICA BRASIL COMUNICAÇÃO AUDIOVISUAL;41.090.374/0001-22;COLIGAÇÃO;21/12/2009
13674;RADIO E TELEVISAO RIO NEGRO LTDA;14.238.570/0001-29;3293;NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.;04.334.366/0001-58;COLIGAÇÃO;28/12/2020
13680;BE BOSSA NOVA CRIACOES E PRODUCOES S/A;07.533.507/0001-50;1513;EDTM CONSULTORIA E PRODUÇÕES LTDA;05.372.947/0001-47;COLIGAÇÃO;26/02/2018
13680;BE BOSSA NOVA CRIACOES E PRODUCOES S/A;07.533.507/0001-50;4566;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;07.477.471/0001-34;COLIGAÇÃO;03/09/2021
13680;BE BOSSA NOVA CRIACOES E PRODUCOES S/A;07.533.507/0001-50;55;MADE TO CREATE CRIAÇÕES E PRODUÇÕES LTDA.;00.495.190/0001-65;COLIGAÇÃO;11/03/2008
13694;ALFA CINEMA E VÍDEO LTDA;55.469.316/0001-19;999;FAUZI A MANSUR CINEMATOGRÁFICA;49.922.966/0001-75;COLIGAÇÃO;06/11/2020
13722;CAPADÓCIA MARKETING LTDA;08.632.329/0001-87;34223;BISULINHA PARTICIPACÕES E ENTRETENIMENTO LTDA;10.935.395/0001-78;COLIGAÇÃO;16/05/2024
13736;PRMUSIC ENTRETENIMENTO LTDA;02.897.745/0001-20;39764;PRMUSIC PRODUÇÕES ARTÍSTICAS EIRELI - EPP;20.908.217/0001-01;COLIGAÇÃO;18/04/2024
13737;ASSOCIAÇÃO FAMILIA DEBAIXO DA GRAÇA;05.591.329/0001-98;23209;EDITORA MENSAGEM PARA TODOS LTDA - EPP;04.202.169/0001-85;COLIGAÇÃO;19/02/2018
13743;CRIARTE PRODUCAO, E CULTURA LTDA - EPP;09.297.586/0001-72;54395;RENATA C. FREIRE PRODUCAO CULTURAL;22.762.663/0001-86;COLIGAÇÃO;14/08/2023
13758;INSTITUTO CULTURAL MAURICIO DE SOUSA;01.987.656/0001-02;13822;MAURICIO DE SOUSA EDITORA LTDA;08.267.787/0001-64;COLIGAÇÃO;30/01/2019
13758;INSTITUTO CULTURAL MAURICIO DE SOUSA;01.987.656/0001-02;773;LOJINHA DA MÔNICA LTDA;49.515.984/0001-32;COLIGAÇÃO;18/04/2024
13758;INSTITUTO CULTURAL MAURICIO DE SOUSA;01.987.656/0001-02;583;MAURICIO DE SOUSA PRODUÇÕES S.A;47.257.902/0001-71;COLIGAÇÃO;29/04/2024
13758;INSTITUTO CULTURAL MAURICIO DE SOUSA;01.987.656/0001-02;24419;RTS EMPREENDIMENTOS E PARTICIPAÇÕES S/A;56.786.874/0001-70;COLIGAÇÃO;17/11/2022
13772;FONDO FILMES LTDA;09.504.236/0001-30;24711;PORTA DOS FUNDOS PRODUTORA E DISTRIBUIDORA AUDIOVISUAL S.A.;17.227.558/0001-07;COLIGAÇÃO;27/02/2023
13792;BKS DUBLAGENS DO BRASIL LTDA;04.947.418/0001-61;17960;ANIMA NOVA MIDIA INTERMEDIAÇÃO DE NEGÓCIOS LTDA.;10.785.071/0001-09;COLIGAÇÃO;04/03/2013
13822;MAURICIO DE SOUSA EDITORA LTDA;08.267.787/0001-64;13758;INSTITUTO CULTURAL MAURICIO DE SOUSA;01.987.656/0001-02;COLIGAÇÃO;31/03/2022
13822;MAURICIO DE SOUSA EDITORA LTDA;08.267.787/0001-64;773;LOJINHA DA MÔNICA LTDA;49.515.984/0001-32;COLIGAÇÃO;18/04/2024
13822;MAURICIO DE SOUSA EDITORA LTDA;08.267.787/0001-64;24419;RTS EMPREENDIMENTOS E PARTICIPAÇÕES S/A;56.786.874/0001-70;COLIGAÇÃO;17/11/2022
13822;MAURICIO DE SOUSA EDITORA LTDA;08.267.787/0001-64;583;MAURICIO DE SOUSA PRODUÇÕES S.A;47.257.902/0001-71;COLIGAÇÃO;29/04/2024
13827;POLYPHONIA PRODUÇÕES ARTÍSTICAS LTDA.;09.514.197/0001-51;485;BRASILIANA PRODUÇÕES ARTÍSTICAS LTDA;34.176.115/0001-53;COLIGAÇÃO;18/12/2012
13831;PONTO DE EQUILIBRIO EVENTOS E IMAGEM EIRELI;09.202.111/0001-55;41334;L.M.H.MOTA PRODUTORA;31.571.831/0001-47;COLIGAÇÃO;12/06/2024
13854;CINEBOSSA FILMES E PRODUÇÕES ARTÍSTICAS LTDA ME;08.459.024/0001-15;55114;MURILO SAROLDI - CURADORIA E PRODUÇÃO EXECUTIVA DE CONTEÚDO LTDA;35.117.149/0001-30;COLIGAÇÃO;22/09/2023
13863;DUBEM COMUNICAÇÃO E CULTURA;08.187.735/0001-88;25561;ANDORINHA PRODUCOES CULTURAIS LTDA - ME;15.689.484/0001-03;COLIGAÇÃO;05/12/2023
13873;REGISTRO URBANO PRODUCAO, CINEMA E VIDEO LTDA;04.001.743/0001-37;49238;A PRODUTORA FILMES LTDA;41.759.821/0001-93;COLIGAÇÃO;09/08/2021
13904;SANTUÁRIO FILMES LTDA ME;09.541.575/0001-96;35134;NEBULOSA FILMES LTDA.-ME;25.533.106/0001-81;COLIGAÇÃO;20/06/2022
13907;GRAVINA SERVIÇOS DE SOLUÇÕES AUDIOVISUAIS L.T.D.A - ME;07.633.095/0001-20;30006;2N AUDIOVISUAL LTDA - ME;20.258.160/0001-42;COLIGAÇÃO;16/08/2023
13908;PROMARKETING LTDA;32.841.157/0001-36;50523;STYLLO SERVIÇOS LTDA;10.753.378/0001-10;COLIGAÇÃO;15/02/2022
13928;LK TEL DISTRIBUIDORA DE FILMES LTDA.;09.006.254/0001-91;2364;CINEMAS PARIS SEVERIANO RIBEIRO LTDA;31.611.189/0001-82;COLIGAÇÃO;07/04/2020
13928;LK TEL DISTRIBUIDORA DE FILMES LTDA.;09.006.254/0001-91;44183;IPPON PRODUÇÕES EIRELI;30.550.991/0001-47;COLIGAÇÃO;01/10/2019
13928;LK TEL DISTRIBUIDORA DE FILMES LTDA.;09.006.254/0001-91;11922;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;COLIGAÇÃO;18/01/2024
13937;NIMBUS COMUNICAÇÃO E MARKETING LTDA;07.427.207/0001-96;30;TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA;31.337.942/0001-93;COLIGAÇÃO;07/06/2022
13944;FUND SETORIAL DE RADIODIFUSAO EDUC DE SONS E IMAGENS;60.133.972/0001-86;13379;REDE NOVO TEMPO DE COMUNICACAO;01.385.423/0001-30;COLIGAÇÃO;13/03/2024
13949;RADIO E TELEVISAO CAPITAL LTDA;02.579.308/0001-69;251;RADIO E TELEVISAO RECORD S.A;60.628.369/0001-75;COLIGAÇÃO;03/07/2019
13949;RADIO E TELEVISAO CAPITAL LTDA;02.579.308/0001-69;14534;RECORD PROMOÇÃO DE EVENTOS E ENTRETENIMENTO LTDA;04.552.791/0001-13;COLIGAÇÃO;04/04/2023
14008;CINE ART CAFÉ LTDA;09.560.462/0001-38;3227;CINE A BRAGANCA PAULISTA LTDA;41.861.923/0001-15;COLIGAÇÃO;18/06/2020
14008;CINE ART CAFÉ LTDA;09.560.462/0001-38;28464;CINE A MARABA LTDA;21.160.773/0001-05;COLIGAÇÃO;03/03/2020
14008;CINE ART CAFÉ LTDA;09.560.462/0001-38;52531;CINE A SERVIÇOS LTDA;23.682.751/0001-30;COLIGAÇÃO;23/12/2022
14008;CINE ART CAFÉ LTDA;09.560.462/0001-38;15833;CINE A LTDA;10.894.937/0001-01;COLIGAÇÃO;03/11/2022
14010;NA LAJE FILMES PRODUÇÕES LTDA;08.035.343/0001-01;26636;MARIA REGINA NOBREGA ZELANTE MARYSSAEL DE CAMPOS - ME;05.585.671/0001-85;COLIGAÇÃO;23/07/2020
14019;MANRESA E ELIAS ÁUDIO E VÍDEO LTDA;05.623.969/0001-32;21552;NEW STAR PRODUÇÕES LTDA;10.867.801/0001-02;COLIGAÇÃO;16/05/2024
14032;CASA VERDE AUDIOVISUAL LTDA;05.969.863/0001-95;3778;NOVA COMUNICAÇÃO LTDA;05.701.640/0001-42;COLIGAÇÃO;27/07/2010
14054;BUREAU DE COMUNICAÇÃO E EVENTOS LTDA;79.873.451/0001-93;57629;GURIA PRODUÇÕES ARTÍSTICAS - LTDA;50.266.648/0001-82;COLIGAÇÃO;05/03/2024
14069;DELTA ON LINE - COMUNICAÇÃO LTDA. EPP;09.252.786/0001-09;4388;DELTA KAN PRODUÇÕES CINEMATOGRÁFICAS LTDA;95.411.716/0001-98;COLIGAÇÃO;10/08/2010
14087;ASSOCIACAO ESTACAO DA LUZ;06.139.069/0001-87;1591;LUZ PRODUÇÕES CINEMATOGRÁFICAS LTDA.;00.975.333/0001-36;COLIGAÇÃO;13/10/2021
14088;NOVE9 PRODUÇÕES, COMPUTAÇÃO GRÁFICA, FILMES E VIDEOS LTDA - ME;07.478.723/0001-40;19349;9PLAY PRODUCOES E CONTEUDO LTDA - ME;11.986.805/0001-72;COLIGAÇÃO;21/03/2023
14097;TELEVISAO GUAIBA LTDA;87.185.468/0001-86;4028;TELEVISAO ITAPOAN SOCIEDADE ANONIMA;15.122.492/0001-65;COLIGAÇÃO;12/06/2024
14098;BELLI STUDIO PRODUÇÕES LTDA;10.014.361/0001-40;3500;BELLI STUDIO DESIGN LTDA.;03.274.384/0001-29;COLIGAÇÃO;15/04/2024
14105;GIOCONDA PRODUÇÕES ARTÍSTICAS E EDIÇÕES CULTURAIS LTDA;08.304.465/0001-48;21823;MAFF DISTRIBUICAO E COMERCIALIZACAO DE FILMES E OBRAS CULTURAIS LTDA;04.828.220/0001-69;COLIGAÇÃO;02/02/2023
14123;KINEMOTUS FGB CINEMA TV LTDA.;09.250.931/0001-12;1082;NEANDERTHAL MB CINEMA S/C LTDA.;04.971.555/0001-31;COLIGAÇÃO;16/05/2024
14130;TRAMPOLIM FILMES PRODUÇÕES E COMUNICAÇÃO LTDA;07.131.193/0001-69;32034;PRODUX PRODUÇÕES AUDIOVISUAIS;08.033.166/0001-16;COLIGAÇÃO;08/03/2021
14131;MULLER E ESTEVES LTDA;02.245.046/0001-04;54710;LUCIANE ESTEVES CORDEIRO;27.826.930/0001-55;COLIGAÇÃO;04/09/2023
14151;CAUDA LONGA DISTRIBUIÇÃO E PRODUÇÃO LTDA;06.139.189/0001-84;22049;FILMES DE MINAS LTDA;12.515.906/0001-28;COLIGAÇÃO;26/06/2024
14151;CAUDA LONGA DISTRIBUIÇÃO E PRODUÇÃO LTDA;06.139.189/0001-84;1517;FILMES DO RIO DE JANEIRO LTDA.;68.780.527/0001-10;COLIGAÇÃO;01/02/2021
14182;FABRIKA FILMES EIRELI ­ ME;07.805.432/0001-19;3781;FBK COMUNICACAO DIGITAL LTDA;04.024.941/0001-16;COLIGAÇÃO;11/02/2020
14193;O2 POS PRODUÇÕES LTDA;00.165.794/0001-43;107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;COLIGAÇÃO;21/03/2022
14193;O2 POS PRODUÇÕES LTDA;00.165.794/0001-43;63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;COLIGAÇÃO;30/03/2021
14193;O2 POS PRODUÇÕES LTDA;00.165.794/0001-43;7087;O2 CINEMA LTDA;02.525.725/0001-29;COLIGAÇÃO;04/06/2024
14193;O2 POS PRODUÇÕES LTDA;00.165.794/0001-43;13636;O2 FILMES PUBLICITÁRIOS LTDA.;08.746.762/0001-43;COLIGAÇÃO;28/06/2022
14200;ARTE VITAL EXIBIÇÕES CINEMATOGRÁFICAS LTDA;03.459.043/0001-28;22221;CASAL CINE ARTE LTDA;15.232.421/0001-15;COLIGAÇÃO;13/02/2020
14233;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;09.180.984/0001-04;10;CONSPIRAÇÃO FILMES S/A;02.020.661/0001-04;COLIGAÇÃO;05/06/2024
14233;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;09.180.984/0001-04;12958;VEREDA FILMES LTDA;08.741.983/0001-29;COLIGAÇÃO;28/11/2023
14233;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;09.180.984/0001-04;20529;VEREDA INTERNACIONAL AUDIOVISUAL LTDA;09.112.697/0001-67;COLIGAÇÃO;13/09/2023
14233;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;09.180.984/0001-04;22478;CONSPIRAÇÃO ENTRETENIMENTO SÃO PAULO LTDA.;10.429.612/0001-58;COLIGAÇÃO;25/06/2024
14249;FM MORAES FILMES;05.542.521/0001-94;26011;RAIZ ESTUDIO COMUNICAÇÃO LTDA ME;18.893.741/0001-04;COLIGAÇÃO;23/06/2021
14251;MOVIE ARTE CINEMAS LTDA;10.202.181/0001-92;37101;ROBERTA GORNISKI;28.105.109/0001-02;COLIGAÇÃO;14/12/2023
14259;SPRING PUBLICAÇÕES LTDA.;08.234.482/0001-56;1125;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;61.914.891/0001-86;COLIGAÇÃO;27/10/2022
14259;SPRING PUBLICAÇÕES LTDA.;08.234.482/0001-56;16026;SPRING EDITORA-PRODUTORA LTDA;07.168.747/0001-00;COLIGAÇÃO;29/03/2022
14266;ORÁCULO PRODUÇÕES LTDA;04.627.522/0001-79;1838;GNP BRASIL PROPAGANDA LTDA;72.588.114/0001-05;COLIGAÇÃO;04/03/2013
14267;PROJETO OLHO VIVO;07.381.315/0001-75;22431;TAMBOR MULTIARTES LTDA;06.249.873/0001-19;COLIGAÇÃO;25/10/2023
14272;ESTRICNINA DESENHOS ANIMADOS LTDA;08.662.115/0001-53;17456;THIAGO M. MARTINS - PRODUÇÕES;10.626.431/0001-11;COLIGAÇÃO;15/06/2022
14272;ESTRICNINA DESENHOS ANIMADOS LTDA;08.662.115/0001-53;27046;MARCO ANTONIO PAVÃO ME;05.531.541/0001-60;COLIGAÇÃO;08/06/2020
14286;MS MONDEGO;06.881.360/0001-26;47806;KALUI PRODUÇÕES LTDA;33.821.754/0001-61;COLIGAÇÃO;07/03/2023
14286;MS MONDEGO;06.881.360/0001-26;47855;TRÊS PESQUISA E SERVIÇOS LTDA;25.247.281/0001-02;COLIGAÇÃO;03/03/2021
14310;CAVALLARIA FILMES E PRODUCOES CULTURAIS LTDA;10.207.392/0001-18;47963;DEQUEKER STUDIO LTDA;38.492.725/0001-17;COLIGAÇÃO;17/03/2021
14310;CAVALLARIA FILMES E PRODUCOES CULTURAIS LTDA;10.207.392/0001-18;23796;DQKER FILMES EIRELI;17.800.883/0001-17;COLIGAÇÃO;12/06/2024
14317;KINOSSAURUS FILMES LTDA.;02.282.322/0001-04;30712;KAIROS FILMES LTDA;21.422.978/0001-11;COLIGAÇÃO;10/10/2023
14325;RECANTO TREKKER FILMES LTDA. ME.;28.324.036/0001-40;44900;HISTORY DIGITAL PRODUÇÕES LTDA;33.116.749/0001-58;COLIGAÇÃO;07/01/2020
14328;F.T. PRODUÇÕES DE FILMES LTDA - EPP;07.672.046/0001-04;27132;HOBIE - PRODUCAO TELEVISIVA LTDA - ME;19.521.912/0001-37;COLIGAÇÃO;12/08/2019
