REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
42;PRODUÇÕES CINEMATOGRÁFICAS LC BARRETO LTDA;33.450.990/0001-19;43;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;COLIGAÇÃO;01/02/2024
42;PRODUÇÕES CINEMATOGRÁFICAS LC BARRETO LTDA;33.450.990/0001-19;19299;CARAVELA FILMES LTDA.;13.914.178/0001-90;COLIGAÇÃO;17/06/2024
43;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;42;PRODUÇÕES CINEMATOGRÁFICAS LC BARRETO LTDA;33.450.990/0001-19;COLIGAÇÃO;29/04/2024
43;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;19299;CARAVELA FILMES LTDA.;13.914.178/0001-90;COLIGAÇÃO;17/06/2024
44;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;1500;CANAL BRAZIL S/A;02.608.224/0001-06;COLIGAÇÃO;18/09/2023
44;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;39;TELECINE PROGRAMACAO DE FILMES LTDA;00.252.848/0001-08;COLIGAÇÃO;16/02/2022
44;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;4727;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;COLIGAÇÃO;13/04/2020
44;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;5755;EDITORA GLOBO S.A.;04.067.191/0001-60;COLIGAÇÃO;10/05/2022
46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;COLIGAÇÃO;17/08/2020
46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;COLIGAÇÃO;17/03/2022
46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;COLIGAÇÃO;29/06/2022
46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;2687;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;COLIGAÇÃO;16/11/2023
49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;2687;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;COLIGAÇÃO;16/11/2023
49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;COLIGAÇÃO;23/03/2022
49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;COLIGAÇÃO;29/06/2022
49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;COLIGAÇÃO;17/08/2020
51;ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.;94.100.302/0001-85;44584;ZEPP FILMES LTDA;35.339.160/0001-44;COLIGAÇÃO;18/11/2019
53;GIROS PROJETOS AUDIOVISUAIS LTDA;04.661.796/0001-84;53115;GIROS HOLDING LTDA.;39.701.760/0001-61;COLIGAÇÃO;03/04/2023
55;MADE TO CREATE CRIAÇÕES E PRODUÇÕES LTDA.;00.495.190/0001-65;4566;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;07.477.471/0001-34;COLIGAÇÃO;03/09/2021
55;MADE TO CREATE CRIAÇÕES E PRODUÇÕES LTDA.;00.495.190/0001-65;13680;BE BOSSA NOVA CRIACOES E PRODUCOES S/A;07.533.507/0001-50;COLIGAÇÃO;15/12/2023
55;MADE TO CREATE CRIAÇÕES E PRODUÇÕES LTDA.;00.495.190/0001-65;1513;EDTM CONSULTORIA E PRODUÇÕES LTDA;05.372.947/0001-47;COLIGAÇÃO;26/02/2018
60;ZERO FILMES LTDA;96.288.634/0001-60;16973;ZEROBRAS PRODUÇÕES LTDA.;11.668.777/0001-45;COLIGAÇÃO;11/05/2020
61;AQUARELA FILMES PRODUCOES CINEMATOGRAFICAS LTDA;03.425.182/0001-30;57998;AKHENATON ARTS PRODUÇÕES LTDA;53.668.402/0001-25;COLIGAÇÃO;18/04/2024
63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;7087;O2 CINEMA LTDA;02.525.725/0001-29;COLIGAÇÃO;04/06/2024
63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;COLIGAÇÃO;21/03/2022
63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;13636;O2 FILMES PUBLICITÁRIOS LTDA.;08.746.762/0001-43;COLIGAÇÃO;28/06/2022
63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;14193;O2 POS PRODUÇÕES LTDA;00.165.794/0001-43;COLIGAÇÃO;25/02/2022
65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;COLIGAÇÃO;17/03/2022
65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;2687;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;COLIGAÇÃO;16/11/2023
65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;COLIGAÇÃO;23/03/2022
65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;COLIGAÇÃO;29/06/2022
66;ANTARES COMÉRCIO E SERVIÇOS LTDA. ME;51.624.906/0001-18;78;ESTÚDIO SÃO PAULO LTDA.;01.512.529/0001-57;COLIGAÇÃO;29/11/2021
68;TURNING POINT PRODUCOES EIRELI;00.325.903/0001-42;51904;KESEF PRODUTORA DE FILMES E CONTEÚDO LTDA;46.727.862/0001-11;COLIGAÇÃO;22/08/2022
68;TURNING POINT PRODUCOES EIRELI;00.325.903/0001-42;32985;TURNING PROCESSAMENTO DE DADOS E IMAGENS LTDA;08.691.210/0001-85;COLIGAÇÃO;17/06/2021
68;TURNING POINT PRODUCOES EIRELI;00.325.903/0001-42;16155;CASA SUNSET - INSTITUTO NAUM TURQUENITCH DE CINEMA E CULTURA;08.549.765/0001-97;COLIGAÇÃO;04/12/2018
78;ESTÚDIO SÃO PAULO LTDA.;01.512.529/0001-57;66;ANTARES COMÉRCIO E SERVIÇOS LTDA. ME;51.624.906/0001-18;COLIGAÇÃO;20/06/2022
85;TBR PRODUÇÕES ESPECIAIS DE IMAGENS E TEXTOS LTDA;60.700.739/0001-38;22242;TIME FILME PRODUTORA AUDIOVISUAL LTDA;15.183.073/0001-33;COLIGAÇÃO;03/04/2023
87;PRODIGO FILMS LTDA;00.020.648/0001-20;7061;INCRÍVEL FILMES PRODUÇÃO DE FILMES LTDA;08.187.584/0001-68;COLIGAÇÃO;02/04/2024
87;PRODIGO FILMS LTDA;00.020.648/0001-20;57931;ZITRO SUPERFILMES LTDA;09.274.816/0001-88;COLIGAÇÃO;10/04/2024
87;PRODIGO FILMS LTDA;00.020.648/0001-20;2670;SUPER BEBÊ EIRELI - EPP;05.372.777/0001-09;COLIGAÇÃO;20/03/2024
87;PRODIGO FILMS LTDA;00.020.648/0001-20;22058;MAD MEN PRODUÇÕES EIRELI - ME;13.500.059/0001-90;COLIGAÇÃO;24/08/2022
87;PRODIGO FILMS LTDA;00.020.648/0001-20;12068;MAX E NICCO FILMES LTDA;03.013.985/0001-88;COLIGAÇÃO;28/03/2024
87;PRODIGO FILMS LTDA;00.020.648/0001-20;45511;ICONOCLAST PRODUÇÕES AUDIOVISUAIS LTDA;36.411.343/0001-96;COLIGAÇÃO;16/08/2022
89;CINEMA FILMES LTDA;60.043.411/0001-96;18510;VHM COMUNICAÇÃO EIRELI;13.271.724/0001-11;COLIGAÇÃO;28/10/2021
89;CINEMA FILMES LTDA;60.043.411/0001-96;1872;CIRCUS FILMS LTDA;05.645.012/0001-97;COLIGAÇÃO;18/02/2020
91;CINNERGIA PRODUÇÕES LTDA;00.287.834/0001-20;38618;AWAKE PRODUÇÃO DE FILMES LTDA;29.233.531/0001-06;COLIGAÇÃO;12/06/2024
91;CINNERGIA PRODUÇÕES LTDA;00.287.834/0001-20;103;OCEAN PRODUÇÃO DE FILMES LTDA;04.069.379/0001-47;COLIGAÇÃO;27/03/2024
100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;46;JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA;34.012.898/0001-30;COLIGAÇÃO;23/03/2022
100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;2687;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;COLIGAÇÃO;16/11/2023
100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;65;JOÃO DANIEL FILMES LTDA;64.086.648/0001-05;COLIGAÇÃO;17/08/2020
100;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;49;ART2D2 PRODUÇÕES LTDA;72.353.725/0001-74;COLIGAÇÃO;17/03/2022
103;OCEAN PRODUÇÃO DE FILMES LTDA;04.069.379/0001-47;91;CINNERGIA PRODUÇÕES LTDA;00.287.834/0001-20;COLIGAÇÃO;26/04/2023
103;OCEAN PRODUÇÃO DE FILMES LTDA;04.069.379/0001-47;38618;AWAKE PRODUÇÃO DE FILMES LTDA;29.233.531/0001-06;COLIGAÇÃO;12/06/2024
105;DISTRIBUIDORA DE FILMES S/A RIOFILME;68.610.302/0001-15;978;MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA;74.114.471/0001-67;COLIGAÇÃO;18/04/2023
107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;14193;O2 POS PRODUÇÕES LTDA;00.165.794/0001-43;COLIGAÇÃO;25/02/2022
107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;63;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;COLIGAÇÃO;30/03/2021
107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;13636;O2 FILMES PUBLICITÁRIOS LTDA.;08.746.762/0001-43;COLIGAÇÃO;28/06/2022
107;O2 FILMES CURTOS LTDA;68.474.774/0001-98;7087;O2 CINEMA LTDA;02.525.725/0001-29;COLIGAÇÃO;04/06/2024
108;LILIAN DOMINGUES MENDES DA SILVA - EPP;00.211.776/0001-50;21157;NA CHACARA FILMES LTDA - EPP;15.110.606/0001-57;COLIGAÇÃO;06/11/2020
112;OFF-HOLLYWOOD PRODUÇÕES LTDA. EPP;04.336.686/0001-47;51878;JUAN ALBERTO GOMEZ PRODUCOES;36.125.472/0001-18;COLIGAÇÃO;17/08/2022
115;TAMBOR PRODUÇÕES CINEMATOGRÁFICAS LTDA;03.273.012/0001-88;248;CR ENTRETENIMENTO LTDA;66.657.727/0001-54;COLIGAÇÃO;26/10/2020
